title,link,description
Pin hạt nhân đầu tiên trên thế giới,https://vnexpress.net/pin-hat-nhan-dau-tien-tren-the-gioi-4861546.html,Các nhà khoa học Trung Quốc phát triển pin hạt nhân đầu tiên trên thế giới dựa trên carbon có thể tồn tại một thế kỷ mà không cần sạc. 54
Mô hình AI ước tính tuổi sinh học qua 5 giọt máu,https://vnexpress.net/mo-hinh-ai-uoc-tinh-tuoi-sinh-hoc-qua-5-giot-mau-4861582.html,NHẬT BẢNHệ thống trang bị AI của Đại học Osaka phân tích 22 loại hormone steroid và tương tác của chúng để đưa ra đánh giá tuổi qua 5 giọt máu.
Nơi có thời tiết tồi tệ nhất thế giới,https://vnexpress.net/noi-co-thoi-tiet-toi-te-nhat-the-gioi-4861548.html,Núi Washington ở bang New Hampshire nổi tiếng với thời tiết khắc nghiệt và những điều kiện cực kỳ nguy hiểm đối với người đi bộ leo núi.
Tàu Mỹ ghi hình nhật thực 'nhẫn kim cương' trên Mặt Trăng,https://vnexpress.net/tau-my-ghi-hinh-nhat-thuc-nhan-kim-cuong-tren-mat-trang-4861574.html,"Lần đầu tiên trong lịch sử, một tàu đổ bộ tư nhân hoạt động tích cực trên Mặt Trăng và ghi hình cảnh Mặt Trời bị Trái Đất che khuất. 38"
SpaceX phóng tên lửa đưa phi hành gia mắc kẹt về Trái Đất,https://vnexpress.net/spacex-phong-ten-lua-dua-phi-hanh-gia-mac-ket-ve-trai-dat-4861547.html,"MỸSpaceX đã phóng tên lửa cứu hộ có thể đưa phi hành gia Butch Wilmore và Sunni Williams, những người đã trải qua 9 tháng trên trạm ISS sau nhiệm vụ Starliner thất bại của Boeing, trở về Trái Đất. 15"
Tấm kim loại mỏng bằng 1/200.000 sợi tóc người,https://vnexpress.net/tam-kim-loai-mong-bang-1-200-000-soi-toc-nguoi-4861135.html,"TRUNG QUỐCCác chuyên gia tạo ra những tấm kim loại một lớp nguyên tử cỡ lớn đầu tiên trên thế giới, một bước đột phá trong khoa học vật liệu. 17"
Hệ thống làm mát chứa 300 tấn nước dưới bệ phóng tên lửa,https://vnexpress.net/he-thong-lam-mat-chua-300-tan-nuoc-duoi-be-phong-ten-lua-4861146.html,TRUNG QUỐCBệ phóng của Bãi phóng vũ trụ thương mại Hải Nam trang bị hệ thống phun nước áp suất cao tiên tiến để làm mát và giảm ồn.
Những chuyển động trong định hướng nghiên cứu ở trường đại học,https://vnexpress.net/nhung-chuyen-dong-trong-dinh-huong-nghien-cuu-o-truong-dai-hoc-4860360.html,"Đại học Bách khoa Hà Nội thúc đẩy các giải pháp thương mại hóa kết quả nghiên cứu, còn Đại học Công nghệ đầu tư phòng thí nghiệm hiện đại, thu hút nhân tài, đặt mục tiêu trở thành đại học công nghệ kỹ thuật hàng đầu châu Á."
Nền tảng thông minh giúp robot hình người tự ra quyết định,https://vnexpress.net/nen-tang-thong-minh-giup-robot-hinh-nguoi-tu-ra-quyet-dinh-4861114.html,"Robot hình người Tiangong của Trung Quốc có thể xây các khối, phân loại bộ đồ ăn và vứt rác với độ chính xác cao, điều khiển theo thời gian thực để hoàn thành nhiệm vụ trôi chảy. 21"
Công nghệ truyền điện không dây sắp thành hiện thực,https://vnexpress.net/cong-nghe-truyen-dien-khong-day-sap-thanh-hien-thuc-4861144.html,"Với những tiến bộ công nghệ gần đây, truyền điện bằng vi sóng hoặc laser thay vì sử dụng cột điện và dây điện có thể diễn ra trong tương lai gần. 28"
Hơn 1/3 động vật có vú ở Việt Nam có nguy cơ tuyệt chủng,https://vnexpress.net/hon-1-3-dong-vat-co-vu-o-viet-nam-co-nguy-co-tuyet-chung-4861366.html,"Việt Nam là một trong những quốc gia có mức độ đa dạng sinh học cao nhất thế giới, nhưng nhiều loài đang giảm mạnh về số lượng, trong đó hơn 1/3 số loài động vật có vú đang đối mặt với nguy cơ tuyệt chủng."
Máy tính lượng tử Mỹ nhanh gấp triệu lần siêu máy tính,https://vnexpress.net/may-tinh-luong-tu-my-nhanh-gap-trieu-lan-sieu-may-tinh-4861116.html,Công ty khởi nghiệp ở California phát triển máy tính lượng tử ủ D-Wave Advantage2 có khả năng tính toán nhanh gấp triệu lần siêu máy tính. 25
Đề xuất miễn giảm thuế để thu hút công nghệ chiến lược,https://vnexpress.net/de-xuat-mien-giam-thue-de-thu-hut-cong-nghe-chien-luoc-4861259.html,Bộ Khoa học và Công nghệ đề xuất hàng loạt ưu đãi thuế hấp dẫn dành cho nhà đầu tư nước ngoài chuyển giao công nghệ chiến lược vào Việt Nam. 10
Công ty Mỹ chế tạo bộ vi điều khiển nhỏ nhất thế giới,https://vnexpress.net/cong-ty-my-che-tao-bo-vi-dieu-khien-nho-nhat-the-gioi-4861132.html,"Bộ vi điều khiển MSPM0C1104, hoạt động như máy tính tí hon, có thể giúp cải tiến nhiều thiết bị đeo y tế và thiết bị điện tử cá nhân. 23"
Cánh tay robot phi thủy lực mạnh nhất thế giới,https://vnexpress.net/canh-tay-robot-phi-thuy-luc-manh-nhat-the-gioi-4860630.html,"Cánh tay robot không dùng cơ cấu thủy lực của Rise Robotics có thể nâng 2.930 kg hàng, vượt xa kỷ lục thế giới hiện nay là 2.300 kg."
Quá trình xây hầm đường bộ - đường sắt dài nhất thế giới,https://vnexpress.net/qua-trinh-xay-ham-duong-bo-duong-sat-dai-nhat-the-gioi-4860625.html,"Trên bờ biển Baltic ở miền nam Đan Mạch, đường hầm Fehmarnbelt, một kỳ quan kỹ thuật đang dần thành hình, hứa hẹn vẽ lại bản đồ đường bộ và đường sắt của châu Âu khi hoàn thành. 10"
Xây ao trữ nước ngọt kết hợp nuôi cá làm du lịch ở miền Tây,https://vnexpress.net/xay-ao-tru-nuoc-ngot-ket-hop-nuoi-ca-lam-du-lich-o-mien-tay-4860794.html,"Công nghệ tích trữ nước phân tán phục vụ vùng cây ăn quả vùng Đồng bằng sông cửu Long giúp người dân vừa trữ nước ngọt, kết hợp nuôi cá làm du lịch. 21"
Robot Trung Quốc đạp xe như con người,https://vnexpress.net/robot-trung-quoc-dap-xe-nhu-con-nguoi-4860539.html,Nhà sản xuất robot AgiBot tại Thượng Hải hôm 11/3 hé lộ mẫu robot hình người mới Lingxi X2 với khả năng di chuyển giống con người. 44
